공연ID,공연명,공연시작일,공연종료일,공연장르,공연지역
PF257050,Dreamcatcher World Tour: Luck Inside 7 Doors [서울],2024.01.13,2024.01.13,대중음악,서울특별시
PF256949,fhana Beautiful Dreamer ASIA Tour in Seoul,2024.01.06,2024.01.06,대중음악,서울특별시
PF256909,SHARING & TOGETHER CONCERT,2024.01.13,2024.01.13,대중음악,서울특별시
PF256906,MARK TUAN ASIA TOUR: The Other Side [서울],2024.01.27,2024.01.27,대중음악,서울특별시
PF242031,"하나, 둘, 셋, 김치! [전주]",2024.01.12,2024.06.08,연극,전라북도
PF241415,카르멘 튜즈데이,2024.01.30,2024.06.25,서양음악(클래식),서울특별시
PF241378,쉬어매드니스 [대학로],2016.04.05,2025.03.23,연극,서울특별시
PF235543,난타 [명동],2021.12.02,2025.06.30,뮤지컬,서울특별시
PF234715,"새해 히사이시조, 섀도우 콘서트",2024.01.31,2024.02.29,서양음악(클래식),제주특별자치도
PF234640,"사람, 사랑, 살아,",2024.01.31,2024.02.04,연극,서울특별시
PF234639,"재즈 LIVE IN, 송도국제도시: 맹서령 Quartet [인천]",2024.01.27,2024.01.27,대중음악,인천광역시
PF234626,"제153회 두레콘서트, 라클라쎄 & 김정아 [고양]",2024.01.31,2024.01.31,서양음악(클래식),경기도
PF234616,정글북 [광주],2024.01.31,2024.03.03,뮤지컬,광주광역시
PF234551,리타,2024.01.30,2024.01.31,연극,서울특별시
PF234502,한몽예술교류전 [남원],2024.01.27,2024.01.27,복합,전라북도
PF234486,제1회 계성초등학교 오케스트라 정기연주회,2024.01.31,2024.01.31,서양음악(클래식),대구광역시
PF234452,박혜온 대금 독주회 ⅩⅠ: 대금으로 듣는 한국의 민속음악,2024.01.30,2024.01.30,한국음악(국악),서울특별시
PF234447,The Luna 클래식 콘서트: 모두의 클래식,2024.01.26,2024.01.26,서양음악(클래식),부산광역시
PF234431,제27회 마티네 콘체르토 콘서트,2024.01.24,2024.01.24,서양음악(클래식),서울특별시
PF234379,위풍당당 콘서트,2024.01.23,2024.01.23,서양음악(클래식),서울특별시
PF234369,"제3회 두드림페스티벌, Ch.두드림 다큐 & 드라마",2024.01.29,2024.01.31,연극,서울특별시
PF234364,콰르텟 숨 정기연주회,2024.01.30,2024.01.30,서양음악(클래식),서울특별시
PF234360,절대영도 [대학로],2024.01.30,2024.02.08,연극,서울특별시
PF234349,제3회 SA청소년오케스트라 정기연주회,2024.01.27,2024.01.27,복합,경기도
PF234332,"제8회 한국뮤지컬어워즈, 뮤이어(MU:Year) 스테이지",2024.01.29,2024.01.29,뮤지컬,서울특별시
PF234322,검은 옷의 수도사,2024.01.29,2024.02.26,연극,서울특별시
PF234286,신년음악회 [태안],2024.01.30,2024.01.30,복합,충청남도
PF234274,날개 (앵콜),2024.01.23,2024.01.28,연극,서울특별시
PF234273,코리안챔버오케스트라(KCO) 신년음악회,2024.01.27,2024.01.27,서양음악(클래식),서울특별시
PF234271,길들여진 새,2024.01.26,2024.01.28,연극,서울특별시
